Blanche,67.589
Sandy,67.644
Rosie,67.699
Joanna,67.754
Iris,67.808
Eunice,67.863
Angie,67.917
Inez,67.970
Lynda,68.023
Madeline,68.075
Amelia,68.127
Alberta,68.179
Genevieve,68.230
Monique,68.282
Jodi,68.333
Janie,68.385
Maggie,68.436
Kayla,68.487
Sonya,68.538
Jan,68.589
Lee,68.641
Kristine,68.691
Candace,68.742
Fannie,68.792
Maryann,68.843
Opal,68.893
Alison,68.943
Yvette,68.993
Melody,69.043
Luz,69.092
Susie,69.142
Olivia,69.191
Flora,69.240
Shelley,69.288
Kristy,69.337
Mamie,69.385
Lula,69.433
Lola,69.482
Verna,69.530
Beulah,69.577
Antoinette,69.625
Candice,69.671
Juana,69.717
Jeannette,69.763
Pam,69.809
Kelli,69.854
Hannah,69.899
Whitney,69.944
Bridget,69.989
Karla,70.034
Celia,70.078
Latoya,70.121
Patty,70.165
Shelia,70.208
Gayle,70.251
Della,70.294
Vicky,70.336
Lynne,70.379
Sheri,70.421
Marianne,70.463
Kara,70.504
Jacquelyn,70.544
Erma,70.585
Blanca,70.626
Myra,70.666
Leticia,70.706
Pat,70.746
Krista,70.786
Roxanne,70.826
Angelica,70.865
Johnnie,70.905
Robyn,70.944
Francis,70.983
Adrienne,71.022
Rosalie,71.061
Alexandra,71.100
Brooke,71.139
Bethany,71.177
Sadie,71.216
Bernadette,71.254
Traci,71.293
Jody,71.331
Kendra,71.369
Jasmine,71.407
Nichole,71.445
Rachael,71.483
Chelsea,71.520
Mable,71.558
Ernestine,71.596
Muriel,71.634
Marcella,71.671
Elena,71.708
Krystal,71.745
Angelina,71.781
Nadine,71.818
Kari,71.853
Estelle,71.889
Dianna,71.925
Paulette,71.961
Lora,71.996
Mona,72.032
Doreen,72.067
Rosemarie,72.102
Angel,72.137
Desiree,72.172
Antonia,72.207
Hope,72.241
Ginger,72.274
Janis,72.308
Betsy,72.342
Christie,72.375
Freda,72.409
Mercedes,72.442
Meredith,72.475
Lynette,72.508
Teri,72.541
Cristina,72.573
Eula,72.606
Leigh,72.638
Meghan,72.670
Sophia,72.702
Eloise,72.734
Rochelle,72.766
Gretchen,72.798
Cecelia,72.829
Raquel,72.860
Henrietta,72.891
Alyssa,72.922
Jana,72.953
Kelley,72.983
Gwen,73.014
Kerry,73.044
Jenna,73.075
Tricia,73.105
Laverne,73.135
Olive,73.165
Alexis,73.195
Tasha,73.225
Silvia,73.254
Elvira,73.284
Casey,73.313
Delia,73.342
Sophie,73.372
Kate,73.401
Patti,73.430
Lorena,73.459
Kellie,73.488
Sonja,73.517
Lila,73.546
Lana,73.575
Darla,73.604
May,73.633
Mindy,73.661
Essie,73.690
Mandy,73.719
Lorene,73.747
Elsa,73.775
Josefina,73.804
Jeannie,73.832
Miranda,73.860
Dixie,73.888
Lucia,73.916
Marta,73.944
Faith,73.972
Lela,73.999
Johanna,74.027
Shari,74.055
Camille,74.082
Tami,74.110
Shawna,74.137
Elisa,74.164
Ebony,74.192
Melba,74.219
Ora,74.246
Nettie,74.273
Tabitha,74.300
Ollie,74.327
Jaime,74.354
Winifred,74.381
Kristie,74.408
Marina,74.435
Alisha,74.462
Aimee,74.488
Rena,74.515
Myrna,74.541
Marla,74.567
Tammie,74.593
Latasha,74.619
Bonita,74.645
Patrice,74.671
Ronda,74.697
Sherrie,74.722
Addie,74.748
Francine,74.773
Deloris,74.799
Stacie,74.824
Adriana,74.849
Cheri,74.874
Shelby,74.899
Abigail,74.924
Celeste,74.949
Jewel,74.974
Cara,74.999
Adele,75.024
Rebekah,75.048
Lucinda,75.073
Dorthy,75.097
Chris,75.122
Effie,75.146
Trina,75.171
Reba,75.195
Shawn,75.219
Sallie,75.244
Aurora,75.268
Lenora,75.292
Etta,75.317
Lottie,75.341
Kerri,75.365
Trisha,75.389
Nikki,75.413
Estella,75.438
Francisca,75.461
Josie,75.485
Tracie,75.509
Marissa,75.533
Karin,75.557
Brittney,75.580
Janelle,75.604
Lourdes,75.628
Laurel,75.651
Helene,75.675
Fern,75.698
Elva,75.722
Corinne,75.745
Kelsey,75.769
Ina,75.792
Bettie,75.816
Elisabeth,75.839
Aida,75.862
Caitlin,75.886
Ingrid,75.909
Iva,75.932
Eugenia,75.955
Christa,75.978
Goldie,76.000
Cassie,76.023
Maude,76.046
Jenifer,76.068
Therese,76.091
Frankie,76.113
Dena,76.136
Lorna,76.158
Janette,76.180
Latonya,76.202
Candy,76.224
Morgan,76.247
Consuelo,76.269
Tamika,76.291
Rosetta,76.313
Debora,76.334
Cherie,76.356
Polly,76.378
Dina,76.400
Jewell,76.421
Fay,76.442
Jillian,76.464
Dorothea,76.485
Nell,76.506
Trudy,76.527
Esperanza,76.548
Patrica,76.570
Kimberley,76.591
Shanna,76.611
Helena,76.632
Carolina,76.653
Cleo,76.674
Stefanie,76.694
Rosario,76.715
Ola,76.735
Janine,76.756
Mollie,76.776
Lupe,76.796
Alisa,76.816
Lou,76.836
Maribel,76.856
Susanne,76.875
Bette,76.895
Susana,76.914
Elise,76.933
Cecile,76.953
Isabelle,76.972
Lesley,76.991
Jocelyn,77.010
Paige,77.030
Joni,77.049
Rachelle,77.068
Leola,77.087
Daphne,77.106
Alta,77.125
Ester,77.144
Petra,77.162
Graciela,77.181
Imogene,77.200
Jolene,77.219
Keisha,77.237
Lacey,77.256
Glenna,77.274
Gabriela,77.293
Keri,77.311
Ursula,77.329
Lizzie,77.347
Kirsten,77.366
Shana,77.384
Adeline,77.402
Mayra,77.420
Jayne,77.438
Jaclyn,77.456
Gracie,77.474
Sondra,77.492
Carmela,77.509
Marisa,77.527
Rosalind,77.545
Charity,77.563
Tonia,77.580
Beatriz,77.598
Marisol,77.616
Clarice,77.633
Jeanine,77.651
Sheena,77.668
Angeline,77.685
Frieda,77.703
Lily,77.720
Robbie,77.737
Shauna,77.754
Millie,77.771
Claudette,77.788
Cathleen,77.805
Angelia,77.822
Gabrielle,77.839
Autumn,77.856
Katharine,77.873
Summer,77.890
Jodie,77.907
Staci,77.923
Lea,77.940
Christi,77.957
Jimmie,77.974
Justine,77.990
Elma,78.007
Luella,78.023
Margret,78.040
Dominique,78.056
Socorro,78.073
Rene,78.089
Martina,78.105
Margo,78.122
Mavis,78.138
Callie,78.154
Bobbi,78.170
Maritza,78.186
